"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Oct-2022"
"NIFTY 50","19,286.45","19,347.30","19,074.15","19,281.75","19,122.15","-159.60","-0.83","22,52,91,741","1,98,18,19,32,861.15","20,222.45","16,828.35","-2.81","8.30"
"TATASTEEL","121.20","122.80","120.75","120.00","121.30","1.30","1.08","2,73,46,103","3,33,04,81,884.37","135.00","98.55","-4.75","19.91"
"COALINDIA","306.10","312.70","305.00","306.10","309.10","3.00","0.98","72,53,336","2,24,00,47,756.88","319.75","207.60","7.72","29.32"
"HINDALCO","466.00","473.00","459.40","456.70","460.50","3.80","0.83","78,54,105","3,65,98,55,847.90","508.90","381.00","-1.74","15.76"
"TATACONSUM","883.30","894.45","882.35","883.10","889.05","5.95","0.67","15,31,972","1,36,17,85,230.52","928.00","686.60","-1.18","16.04"
"SBIN","558.60","560.80","553.60","552.95","556.60","3.65","0.66","1,21,34,624","6,76,71,15,766.08","629.55","499.35","-6.37","-3.86"
"MARUTI","10,520.00","10,647.45","10,501.60","10,553.65","10,620.00","66.35","0.63","4,01,105","4,24,61,81,762.05","10,810.85","8,076.05","0.01","17.59"
"M&M","1,574.00","1,576.60","1,547.00","1,565.15","1,570.95","5.80","0.37","25,10,769","3,92,86,00,254.30","1,670.00","1,123.40","-1.28","22.45"
"LTIM","5,236.95","5,295.00","5,180.95","5,201.75","5,218.00","16.25","0.31","2,93,641","1,53,82,73,615.42","5,593.40","4,121.00","-3.22","-"
"NESTLEIND","24,280.00","24,529.70","24,153.10","24,197.75","24,245.25","47.50","0.20","1,11,350","2,71,43,02,118.50","24,745.00","17,880.00","7.17","19.62"
"POWERGRID","199.00","200.45","197.80","199.75","199.85","0.10","0.05","1,68,17,158","3,35,43,50,334.68","209.00","153.19","0.30","-8.70"
"ADANIPORTS","772.50","783.35","761.05","771.45","771.00","-0.45","-0.06","25,81,498","1,99,49,81,654.40","916.00","395.10","-6.85","-3.90"
"HINDUNILVR","2,475.05","2,490.00","2,465.00","2,483.50","2,481.65","-1.85","-0.07","14,35,836","3,55,75,42,140.48","2,769.65","2,393.00","0.06","-1.12"
"SUNPHARMA","1,125.00","1,129.70","1,112.80","1,122.45","1,119.00","-3.45","-0.31","18,00,673","2,01,71,13,894.60","1,169.70","922.45","-0.33","12.98"
"WIPRO","384.40","387.70","381.10","383.15","381.95","-1.20","-0.31","33,39,147","1,28,18,31,750.36","443.75","352.00","-7.79","-0.73"
"RELIANCE","2,250.05","2,281.20","2,243.00","2,263.20","2,256.00","-7.20","-0.32","58,10,344","13,14,00,34,852.56","2,856.00","2,180.00","-3.52","-7.52"
"HEROMOTOCO","3,150.00","3,171.00","3,090.00","3,149.85","3,139.75","-10.10","-0.32","3,91,029","1,22,58,68,094.42","3,275.00","2,246.00","5.59","21.47"
"KOTAKBANK","1,749.00","1,761.75","1,722.00","1,740.75","1,734.85","-5.90","-0.34","35,12,668","6,12,30,01,844.16","2,064.40","1,643.50","-3.16","-6.42"
"BRITANNIA","4,470.00","4,585.60","4,470.00","4,530.60","4,515.20","-15.40","-0.34","3,30,082","1,50,13,28,464.70","5,270.35","3,690.00","-0.79","22.10"
"ASIANPAINT","3,093.40","3,108.00","3,052.00","3,072.00","3,061.10","-10.90","-0.35","6,69,290","2,06,25,17,528.50","3,568.00","2,685.85","-7.90","-0.78"
"BAJAJFINSV","1,612.90","1,630.00","1,598.85","1,613.15","1,606.80","-6.35","-0.39","14,90,405","2,40,16,08,808.90","1,817.90","1,215.00","2.16","-2.84"
"JSWSTEEL","754.10","761.85","741.50","748.95","745.85","-3.10","-0.41","24,17,579","1,81,56,98,532.16","840.00","620.55","-4.05","16.13"
"HCLTECH","1,231.20","1,252.90","1,225.30","1,236.65","1,230.00","-6.65","-0.54","14,20,065","1,75,59,52,974.45","1,311.30","1,011.50","-2.73","19.73"
"TCS","3,390.50","3,425.00","3,377.20","3,410.15","3,390.55","-19.60","-0.57","15,18,537","5,16,02,01,321.18","3,679.00","3,070.25","-5.23","7.21"
"ULTRACEMCO","8,355.00","8,398.50","8,186.25","8,325.25","8,264.95","-60.30","-0.72","2,55,678","2,11,45,67,001.54","8,750.95","6,370.35","0.61","28.69"
"DRREDDY","5,600.00","5,612.20","5,500.00","5,551.95","5,509.50","-42.45","-0.76","4,20,896","2,34,03,20,655.68","5,989.70","4,175.10","1.38","24.12"
"AXISBANK","960.00","974.00","951.40","964.30","956.85","-7.45","-0.77","69,57,048","6,69,17,75,759.76","1,047.50","814.30","-6.23","5.83"
"UPL","586.70","592.75","577.85","586.70","582.10","-4.60","-0.78","29,86,843","1,74,45,85,127.87","807.00","576.95","-5.96","-16.46"
"HDFCBANK","1,521.00","1,522.80","1,491.45","1,506.05","1,494.20","-11.85","-0.79","1,41,55,998","21,31,68,09,588.30","1,757.50","1,445.00","-2.25","3.14"
