Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,2573.89990234375,2580.050048828125,2538.050048828125,2558.39990234375,2537.673828125,681703
2023-01-03,2550.050048828125,2562.0,2535.0,2542.050048828125,2521.45654296875,821843
2023-01-04,2550.5,2558.39990234375,2527.050048828125,2536.10009765625,2515.5546875,1672649
2023-01-05,2537.550048828125,2591.949951171875,2537.5,2583.699951171875,2562.76904296875,2008493
2023-01-06,2580.0,2611.89990234375,2574.89990234375,2576.449951171875,2555.57763671875,991782
2023-01-09,2589.35009765625,2629.449951171875,2570.0,2624.050048828125,2602.792236328125,1267078
2023-01-10,2624.050048828125,2653.35009765625,2615.10009765625,2643.85009765625,2622.431884765625,1413088
2023-01-11,2644.0,2647.85009765625,2588.10009765625,2593.25,2572.24169921875,1471687
2023-01-12,2586.10009765625,2602.60009765625,2572.75,2590.050048828125,2569.067626953125,1703829
2023-01-13,2590.199951171875,2639.25,2566.64990234375,2624.0,2602.742431640625,1348015
2023-01-16,2627.949951171875,2627.949951171875,2584.0,2597.10009765625,2576.060546875,930068
2023-01-17,2605.449951171875,2675.0,2601.800048828125,2667.550048828125,2645.939697265625,1892865
2023-01-18,2668.0,2693.5,2660.0,2686.199951171875,2664.438720703125,2038075
2023-01-19,2670.10009765625,2679.300048828125,2611.89990234375,2649.75,2628.283935546875,1649842
2023-01-20,2550.0,2605.0,2536.050048828125,2548.75,2528.10205078125,4569549
2023-01-23,2560.0,2604.0,2552.0,2596.39990234375,2575.365966796875,1388360
2023-01-24,2604.0,2610.0,2580.800048828125,2600.5,2579.432861328125,1462462
2023-01-25,2600.5,2642.0,2594.0,2622.35009765625,2601.10595703125,1591810
2023-01-27,2635.5,2646.550048828125,2578.199951171875,2612.14990234375,2590.988525390625,1581382
2023-01-30,2610.0,2610.0,2530.199951171875,2568.14990234375,2547.344970703125,2744039
